jan.kingdom_matrix.country,jan.kingdom_matrix.kingdom,jan.kingdom_matrix._c2,jan.kingdom_matrix.increase
,Animalia,6346228,26.0
,Archaea,3974,1.0
,Bacteria,217031,8.0
,Chromista,437546,2.0
,Fungi,227108,31.0
,Plantae,8563666,19.0
,Protozoa,1618081,6.0
,Viruses,330,13.0
AD,Animalia,2187,28.0
AD,Bacteria,2,0.0
AD,Chromista,28,0.0
AD,Fungi,2722,1.0
AD,Plantae,90481,1.0
AD,Protozoa,462,5.0
AD,Viruses,2,0.0
AE,Animalia,313298,1016.0
AE,Bacteria,2,0.0
AE,Chromista,51,82.0
AE,Fungi,74,1.0
AE,Plantae,2065,23.0
AE,Protozoa,209,51.0
AF,Animalia,21402,39.0
AF,Bacteria,20,5.0
AF,Chromista,2,100.0
AF,Fungi,484,20.0
AF,Plantae,51932,7.0
AF,Protozoa,65,195.0
AG,Animalia,14466,28.0
AG,Bacteria,34,42.0
AG,Chromista,96,16.0
AG,Fungi,4,33.0
AG,Plantae,3362,37.0
AG,Protozoa,123,310.0
AI,Animalia,10098,10.0
AI,Bacteria,7,40.0
AI,Chromista,48,20.0
AI,Fungi,1,0.0
AI,Plantae,2928,744.0
AI,Protozoa,1066,2.0
AL,Animalia,3655,60.0
AL,Bacteria,59,0.0
AL,Chromista,275,0.0
AL,Fungi,64,45.0
AL,Plantae,6145,17.0
AL,Protozoa,302,0.0
AM,Animalia,4940,28.0
AM,Bacteria,11,267.0
AM,Chromista,18,0.0
AM,Fungi,514,8.0
AM,Plantae,31180,8.0
AM,Protozoa,26,2500.0
AO,Animalia,73060,48.0
AO,Bacteria,67,3.0
AO,Chromista,543,1.0
AO,Fungi,829,64.0
AO,Plantae,70733,27.0
AO,Protozoa,8044,3.0
AQ,Animalia,994629,12.0
AQ,Archaea,9,0.0
AQ,Bacteria,7631,5.0
AQ,Chromista,15075,3.0
AQ,Fungi,22586,15.0
AQ,Plantae,24512,18.0
AQ,Protozoa,94327,7.0
AQ,Viruses,16,No prior occurrences
AR,Animalia,845809,42.0
AR,Archaea,135,101.0
AR,Bacteria,11081,1.0
AR,Chromista,779,14.0
AR,Fungi,30470,51.0
AR,Plantae,541356,11.0
