pub_country,new_records,total
,444133,2409172
AD,0,81816
AR,71856,902833
AT,82210,3277274
AU,21373719,38955382
BE,2746792,8822846
BF,7679,8658
BG,7982,14877
BJ,74608,107104
BR,3422178,3677195
CA,794320,4500235
CD,213,1072
CH,0,1558889
CL,0,15541
CM,0,23961
CN,367343,530542
CO,689122,2082774
CR,0,3206744
CZ,66084,68080
DE,5656636,18839556
DK,1198790,10250100
EE,16959,324287
ES,1425900,10576218
FI,3442942,20157042
FR,1225718,17489942
GB,7119441,49549616
GH,0,93346
GN,0,493
GT,0,4400
HK,0,1901
HR,0,52
HU,0,107557
IE,354526,2598370
IL,406535,839998
IN,32242,69068
IS,0,458705
IT,0,32606
JP,143552,3816091
KR,5480,1926186
LU,1886,935229
MA,891,3550
MG,0,18748
MN,0,1309
MR,1812,1812
MX,29578,2757667
NI,0,131642
NL,4850163,22691206
NO,6290149,18798917
NZ,236857,1598115
PE,0,77131
PK,0,853
PL,11,1625043
PR,0,3082
PT,201216,308483
RU,35466,40168
SE,6721236,50845385
SI,0,266295
SK,686,115280
TG,0,7983
TH,1597,1597
TW,225119,1332804
TZ,0,10034
US,63402058,211398914
VE,70087,70087
ZA,0,8973006
ZZ,0,12475848
